Title;Artist
Shape of You;Ed Sheeran
Galway Girl;Ed Sheeran
Perfect;Ed Sheeran
Thinking Out Loud;Ed Sheeran
Uptown Funk;Mark Ronson ft. Bruno Mars
Rolling in the Deep;Adele
Blinding Lights;The Weeknd
Despacito;Luis Fonsi ft. Daddy Yankee
Happy;Pharrell Williams
Mr. Rager;Kid Cudi
Can't Stop the Feeling!;Justin Timberlake
Old Town Road;Lil Nas X ft. Billy Ray Cyrus
Call Me Maybe;Carly Rae Jepsen
We Found Love;Rihanna ft. Calvin Harris
All of Me;John Legend
Thrift Shop;Macklemore & Ryan Lewis ft. Wanz
Somebody That I Used to Know;Gotye ft. Kimbra
Counting Stars;OneRepublic
Sorry;Justin Bieber
Royals;Lorde
Radioactive;Imagine Dragons
Shallow;Lady Gaga & Bradley Cooper
Take Me to Church;Hozier
Wake Me Up;Avicii
I Gotta Feeling;The Black Eyed Peas
Frisky (ft. Labrinth);Tinie Tempah
Let Her Go;Passenger
Despacito (Remix);Luis Fonsi ft. Daddy Yankee & Justin Bieber
The Lazy Song;Bruno Mars
Can't Feel My Face;The Weeknd
Sorry for Party Rocking;LMFAO
Party Rock Anthem;LMFAO
Sexy and I Know It;LMFAO
Shots;LMFAO
Champagne Showers;LMFAO
Stay;Rihanna ft. Mikky Ekko
Glad You Came;The Wanted
Ain't It Fun;Paramore
Grenade;Bruno Mars
SICKO MODE;Travis Scott
Blow Me (One Last Kiss);P!NK
Rockstar;Post Malone ft. 21 Savage
Rude;MAGIC!
HUMBLE.;Kendrick Lamar
Talk;Khalid
Shut Up and Dance;Walk The Moon
Love Yourself;Justin Bieber
Someone Like You;Adele
TiK ToK;Ke$ha
Backstabber;Ke$ha
God's Plan;Drake
Just the Way You Are;Bruno Mars
The Less I Know The Better;Tame Impala
Let It Happen;Tame Impala
Waka Waka (This Time for Africa);Shakira
All About That Bass;Meghan Trainor
Party in the U.S.A.;Miley Cyrus
One Dance;Drake ft. Wizkid & Kyla
Firework;Katy Perry
Keep it Mello ft. Omar LinX;Marshmello
Alone;Marshmello
Silence ft. Khalid;Marshmello
Wolves ft. Selena Gomez;Marshmello
Friends ft. Anne-Marie;Marshmello
Happier ft. Bastille;Marshmello
Don't Let Me Down;The Chainsmokers ft. Daya
Closer;The Chainsmokers ft. Halsey
Eye of the Tiger;Survivor
Chandelier;Sia
Sugar;Maroon 5
Me, Myself & I;G-Eazy x Bebe Rexha
Pompeii;Bastille
Things We Lost In The Fire;Bastille
Bleeding Love;Leona Lewis
Teenage Dream;Katy Perry
The Middle;Zedd, Maren Morris, Grey
Somebody Else;The 1975
Love Me Like You Do;Ellie Goulding
Cheap Thrills;Sia
Rihanna ft. Eminem;Love the Way You Lie
I Will Wait;Mumford & Sons
Bang Bang;Jessie J, Ariana Grande, Nicki Minaj
Titanium;David Guetta ft. Sia
Can't Stop the Feeling!;Justin Timberlake
When I Was Your Man;Bruno Mars
Titanium;David Guetta ft. Sia
On Top of the World;Imagine Dragons
Cool for the Summer;Demi Lovato
Wake Me Up When September Ends;Green Day
Wrecking Ball;Miley Cyrus
Just Give Me a Reason;P!NK ft. Nate Ruess
Raise Your Glass;P!NK
Uptown Funk;Mark Ronson ft. Bruno Mars
Let Me Love You (Until You Learn to Love Yourself);Ne-Yo
Lost Boy;Ruth B
Havana;Camila Cabello ft. Young Thug
Blinding Lights;The Weeknd
Sunflower;Post Malone & Swae Lee
Humble and Kind;Tim McGraw
Work (feat. Drake);Rihanna
Hotline Bling;Drake
The Hills;The Weeknd
Can't Feel My Face;The Weeknd
No Tears Left to Cry;Ariana Grande
Love on the Brain;Rihanna
Don't You Worry Child;Swedish House Mafia ft. John Martin
Take A Bow;Rihanna
Bad Guy;Billie Eilish
Can You Feel My Heart;Bring Me The Horizon
Shadow Moses;Bring Me The Horizon
Heathens;Twenty One Pilots
Ain't It Fun;Paramore
Figure It Out;Royal Blood
Psycho;Muse
Believer;Imagine Dragons
parents;Yungblud
Do I Wanna Know?;Arctic Monkeys
Stressed Out;Twenty One Pilots
Father;Misfits
King For A Day;Pierce The Veil
Centuries;Fall Out Boy
The Phoenix;Fall Out Boy
Throne;Bring Me The Horizon
Doomed;Bring Me The Horizon
